#base "_base_handgun.txt"
#base "_base_shotgun_bolts.txt"

WeaponData
{
	// General
	"printname"   									"#WPN_SHOTGUN_PISTOL"
	"shortprintname"								"#WPN_SHOTGUN_PISTOL_SHORT"
	"description" 									"#WPN_SHOTGUN_PISTOL_DESC"
	"longdesc"										"#WPN_SHOTGUN_PISTOL_LONGDESC"

	"ammo_pool_type"								"shotgun"

	"menu_icon"										"rui/weapon_icons/r5/weapon_mozambique"
	"hud_icon"										"rui/weapon_icons/r5/weapon_mozambique"

	"weaponClass" 									"human"
	"weaponSubClass"								"projectile_shotgun"
	"body_type"										"close_quarters"
	"fire_mode"   									"automatic"

	"OnWeaponPrimaryAttack"							"OnWeaponPrimaryAttack_weapon_shotgun_pistol"
	"OnWeaponNpcPrimaryAttack"						"OnWeaponNpcPrimaryAttack_weapon_shotgun_pistol"

	// Menu
	"menu_category"                                 "handgun"
	"menu_anim_class"                               "small"
	"stat_damage" 									"57"
	"stat_range"  									"40"
	"stat_accuracy"   								"44"
	"stat_rof"										"27"

	// Models
	"viewmodel"   									"mdl/weapons/pstl_sa3/ptpov_pstl_sa3.rmdl"
	"playermodel" 									"mdl/weapons/pstl_sa3/w_pstl_sa3.rmdl"

	// Effects
	"tracer_effect"   								"weapon_tracers_shotgun"
	"impact_effect_table" 							"bullet_mastiff"

	"chroma_color"									"1 .3 .3"

	// Projectile
	"projectile_trail_effect_0" 					"P_mastiff_proj"  // "P_dragonsbreath_trail"

	"projectile_launch_speed"						"10000"
	"bolt_gravity_enabled"							"1"
	"projectile_gravity_scale" 						"1.0"
	"bolt_zero_distance" 							"984.3" // 25m

	"projectiles_per_shot"							"3"

	"sound_dryfire"									"shotgun_dryfire"
	"fire_sound_1_player_1p"						"Weapon_ShotgunPistol_Fire_1P"
	"fire_sound_1_player_3p"						"Weapon_ShotgunPistol_Fire_3P"
	"fire_sound_1_npc"								"Weapon_ShotgunPistol_Fire_NPC"
	"sound_zoom_in"									"Weapon_EVA8_ADS_In"
	"sound_zoom_out"								"Weapon_EVA8_ADS_Out"

	"low_ammo_sound_name_1"							"ShotgunPistol_LowAmmo_Shot1"
	"low_ammo_sound_name_2"							"ShotgunPistol_LowAmmo_Shot2"

	"fx_shell_eject_view"							""
	"fx_shell_eject_world"							""
	"fx_shell_eject_attach"							""

	"fx_muzzle_flash_view"							"P_mozambique_base_FP_FULL"
	"fx_muzzle_flash_world"							"P_mozambique_base_FP_FULL"
	"fx_muzzle_flash_attach"						"muzzle_flash"

	"damage_flags"									"DF_SHOTGUN | DF_BULLET | DF_KNOCK_BACK | DF_DISMEMBERMENT"
	"damage_type" 									"bullet"
	"damage_headshot_scale"							"1.5"

	"explosion_inner_radius"  						"16"
	"explosionradius" 								"32"
	"impulse_force"   								"0"

	"critical_hit_damage_scale"						"1"

	"ammo_clip_size"   								"3"
	"ammo_per_shot"									"1"

	"ammo_no_remove_from_stockpile"					"0"
	"ammo_min_to_fire"								"1"
	"low_ammo_fraction" 							"0.3"
    "uses_ammo_pool"                                "1"

	// Damage - When Used by Players
    "damage_near_value"   							"15"
    "damage_far_value"								"15"
    "damage_very_far_value"							"15"
    "damage_near_value_titanarmor"					"15"
    "damage_far_value_titanarmor" 					"15"
    "damage_very_far_value_titanarmor" 				"15"

    "damage_near_distance"							"500"
    "damage_far_distance" 							"1000"
    "damage_very_far_distance" 						"1500"

	MP_BASE
	{
	    "ammo_default_total"							"60"
    	"ammo_stockpile_max"							"60"

		"aimassist_adspull_weaponclass"					"none"

		"damage_heavyarmor_nontitan_scale"				"0.35"
	}

	SP_BASE
	{
		"ammo_default_total"							"20"
		"ammo_stockpile_max"							"32"

		"aimassist_adspull_weaponclass"					"broad_sp"

		"damage_heavyarmor_nontitan_scale"				"1"
	}

	// Damage - When Used by NPCs
    "npc_damage_near_value"   						"11"
    "npc_damage_far_value"							"5"
    "npc_damage_near_value_titanarmor"				"10"
    "npc_damage_far_value_titanarmor" 				"8"
    "npc_damage_near_distance"						"500"
    "npc_damage_far_distance" 						"1000"

    // NPC
