#base "_base_sniper.txt"
#base "_base_sniper_optics.txt"
#base "_base_stocks_sniper.txt"

WeaponData
{
	// General
	"printname"   									"#WPN_CHARGE_RIFLE"
	"shortprintname"   								"#WPN_CHARGE_RIFLE_SHORT"
	"description" 									"#WPN_CHARGE_RIFLE_DESC"
	"longdesc"										"#WPN_CHARGE_RIFLE_LONGDESC"

	"menu_icon"										"rui/weapon_icons/r5/weapon_charge_rifle"
	"hud_icon"										"rui/weapon_icons/r5/weapon_charge_rifle"

	"weapon_type_flags"								"WPT_PRIMARY"
	
	"OnWeaponSustainedDischargeBegin"				"OnAbilityStart_Defender_Sustained"
	"OnWeaponSustainedDischargeEnd"					"OnAbilityEnd_Defender_Sustained"
	"OnWeaponPrimaryAttack"							"OnWeaponPrimaryAttack_weapon_defender_sustained"

	// Menu
	"stat_damage" 									"88"
	"stat_range"  									"96"
	"stat_accuracy"   								"93"
	"stat_rof"										"15"

	//"show_pre_modded_tracer"						"0"

	"vortex_absorb_effect"							"P_impact_lstar_default"
	"vortex_absorb_effect_third_person"				"P_impact_lstar_default"
	"vortex_impact_sound_1p"						"vortex_shield_deflect_amped"
	"vortex_impact_sound_3p"						"vortex_shield_deflect_amped"
	"vortex_refire_behavior"  						"absorb"

	// Models
	"viewmodel"   									"mdl/weapons/defender/ptpov_defender.rmdl"
	"playermodel" 									"mdl/weapons/defender/w_defender.rmdl"
	"holster_type"									"anti_titan"

	// Effects
	"tracer_effect"   								"P_wpn_defender_beam"
	"tracer_effect_first_person"  					"P_wpn_defender_beam"
	"impact_effect_table" 							"exp_defender"
	//"projectile_adjust_to_gun_barrel"				"1"


	// Sounds
	"sound_trigger_pull"							"Weapon_ChargeRifle_TriggerOn"
	"sound_trigger_release" 						"Weapon_ChargeRifle_TriggerOff"
	"sound_zoom_in"									"Weapon_ChargeRifle_ADS_In"
	"sound_zoom_out"								"Weapon_ChargeRifle_ADS_Out"
	"sound_pickup"									"wpn_pickup_ATWeapon_1P"
	"fire_sound_1_player_1p"						"Weapon_ChargeRifle_Fire_1P"
	"fire_sound_1_player_3p"						"Weapon_ChargeRifle_Fire_3P"
	"fire_sound_1_npc"								"Weapon_ChargeRifle_Fire_NPC"

	"damage_type" 									"bullet"
	"impulse_force"   								"2000"
	"critical_hit"									"1"

	// Ammo
	"uses_ammo_pool"								"1"
	"ammo_pool_type"								"special"

	"ammo_clip_size"   								"4"
    "ammo_default_total"							"24"
    "ammo_stockpile_max"							"24"
    "ammo_no_remove_from_stockpile"					"0"
	"ammo_min_to_fire"								"1"
	"ammo_per_shot"                                 "1"
	"low_ammo_fraction" 							"0.3"

	// Behavior
	"fire_rate"   									"1"
	"zoom_time_in"									"0.2"
	"zoom_time_out"   								"0.15"
	"zoom_fov"										"55"

	"reload_enabled"  								"1"
	"allow_empty_click"   							"1"
	"empty_reload_only"   							"0"
	"allow_headshots" 								"1"
	"bypass_semiauto_hold_protection"				"1"

	"reload_time" 									"2.0"
	"reloadempty_time"								"2.0"
	"holster_time"									"0.5"
	"deploy_time" 									"0.8"
	"lower_time"  									"0.25"
	"raise_time"  									"0.3"


	// Sustained Discharge
    "sustained_discharge_duration"	                "1.25"
	"sustained_discharge_pulse_frequency"			"0.104"
	"sustained_discharge_allow_melee"				"0"
	"sustained_discharge_require_input"				"0"
	"sustained_discharge_updates_charge"			"1"
	"sustained_discharge_ends_in_primary_attack"	"1"

	// Sustained Laser
	"sustained_laser_enabled"						"1"
	"sustained_laser_radial_iterations"				"1"
	"sustained_laser_radial_step"					"1"
	"sustained_laser_radius"						"18"
	"sustained_laser_range"							"19685" // 500m
	"sustained_laser_attachment"					"muzzle_flash"
	"sustained_laser_attachment_scoped"				"muzzle_flash_scoped"
	"sustained_laser_effect_1p"						"P_wpn_defender_beam_sustained"
	"sustained_laser_effect_3p"						"P_wpn_defender_beam_sustained"
	"sustained_laser_impact_effect"					"P_defender_end_default"
	"sustained_laser_impact_distance"				"3"
	"sustained_laser_effect_loops"					"true"
	"sustained_laser_impact_effect_table"			"exp_defender_small"
	"sustained_laser_use_deferred_traces"			"0"

    // Damage - When Used by Players
    "damage_flags" 					                "DF_GIB | DF_DISMEMBERMENT"

    "damage_near_value"   							"5"
    "damage_far_value"								"5"
